sequence,class
"0.5487446461822293,0.36667173835287215,0.19500417646396187,0.7993099692553858,0.5280165910949199,-0.001453993259052907,1.386468229648602,-1.064920620238078,0.1002719419294378,-0.84931704606388",0
"0.24389239049491107,-0.9414769284570893,-0.4141498965610527,1.2298539149556424,0.06285051604115177,0.816912312624204,0.8912163306292449,1.1396826255511912,0.27115598098686994,-0.13499080439324587",0
"-1.2016694673723658,0.07602703026335894,0.5433540488739207,0.22858251045537234,-1.043112468680941,2.0679040991299726,-1.1793346853902964,-2.0706050178144864,0.13975454720151698,1.7994717189683573",0
"-0.12923041977773686,-2.019616367057358,-0.5506522086149199,1.5221936534603415,-0.13330165720949194,-0.10998011205391413,0.5979920149907122,-0.8848582746907572,0.10719852996496546,-0.8272014973618577",0
"0.02077725140802762,0.7438642028121695,0.8268352822108644,-1.7626924650026876,1.3865329366710546,0.7123890989754389,-0.46015080851483353,-0.7984331336393469,-0.429317191172285,-1.5158773467158233",0
"-0.5867835916333656,-2.1598505563936192,-0.09089368872963838,-0.25387363062141965,0.2265914733534123,-0.3842114267151927,-0.36734485969848496,0.5935960522814022,-0.6383411543626301,0.3485192153392656",0
"2.0041777182837857,-1.3403092188722023,-0.5256718459127141,-0.010284959559342185,-1.7207216750736218,0.24647869244916795,0.6143768983096323,1.05836578219459,0.29859608785628156,0.2858793631385996",0
"-0.5351472639233468,0.09327759883929468,1.151446204917277,-0.1744749242615524,-0.10483831050476909,0.7873825128537306,1.184882808241755,-0.2305906102310232,-1.0674275932736255,0.9199797385978948",0
"-0.6513573729232325,0.06148908100227034,-0.38197339369807326,-0.4207111757862508,-0.499175434786637,1.9824239959440895,0.5630635053334495,-0.1535338765745857,0.17863203851381204,-0.9032865914254481",0
"1.1831365363664577,-2.2965083214414297,-0.6955212003754815,0.17311545914784976,1.0012551462826034,-0.034345589830448234,0.6233652674363813,0.6077081875293899,-0.5074751702737276,0.944506385907409",0
"-0.14946932056965637,0.12105143696834704,-1.2907966133129019,1.4232647530086333,-1.453046357572328,-0.21175882672193147,0.32668014893866937,0.8061467945172313,1.1213061808373925,1.0001112658018159",0
"-0.34078126212494814,-0.31748702251293465,0.9175586903587865,-0.4923645008881119,1.5384290565056227,0.19601949105629465,-2.3801842334806973,-1.006940249062441,1.5910674598325703,-0.04244214747016247",0
"1.2378175439322918,0.4981850108403192,0.7331178591903986,-2.1818733605323213,-0.04918210632459768,0.23125243733983938,0.3767410568800594,0.690345856732257,0.7067340529499461,-1.4611730648012404",0
"0.47811704452739157,0.6292220539652655,1.2560799772678284,0.12094927142483738,-1.3521198689298164,-1.3271744688699063,0.41221866005409236,0.3831011723828118,-0.6775753521398359,1.1800302385124486",0
"-0.10948581503595999,-0.2516555485210012,-0.7067756494500954,0.6756537012658981,-0.6484788469417256,-1.3984644646002926,0.6060897225987893,1.5267709068888764,1.2602100045724711,-0.13317635033601122",0
"-2.469666985967651,-0.753956044095929,-0.27559479257519265,1.3985694227281096,-1.1806295012252523,0.9016320925718365,-0.029619239965841544,-1.3567600910182351,-0.08326977926653914,0.8842746976126096",0
"1.0308153400563254,-1.3482226177426955,-0.36206242977136316,-0.922239527207081,-0.7289583539084858,-0.8951601870371424,-0.08357244635093328,0.3141933693617504,-0.5257671586497976,1.0222394746308647",0
"0.5396141369123881,1.1319293777304222,0.06084787427948826,-1.0940501641818927,-0.7774205283220662,-0.17975144943713373,1.390569234113595,2.929107145785982,0.7785584652058557,-0.9063825231240801",0
"-0.39755679794538507,-1.369777542498405,-0.3214306813606876,-0.2773903339602877,1.184965494666574,0.12487342131412268,-0.04236951375977118,0.06914771911050667,1.2055133739986608,-0.42128752846166245",0
"-0.16860086502222646,2.341938924316867,-0.08888967977408051,-0.34003259053452733,-0.43700095683726436,-1.926360411787349,0.633670700766439,-1.3534807911486069,-1.517396683712521,-0.5859621166886585",0
"1.7274005508308268,-1.0789647530697937,-0.5327128229832496,0.5554644097222136,-0.53151293703491,-2.0590748083854415,-0.0006207666861504664,0.06485111005470091,0.646524793901487,-1.021013920326866",0
"2.4865966575704355,0.03171041687946772,1.4554548263019063,-0.08168690267776213,0.6065336769404436,0.03417019496301573,0.40156243577691975,0.38787917422890617,-1.6721024079054105,0.5268051058640146",0
"-0.16565549428686668,0.36013225723652986,0.6278633423212664,-2.6555629843328505,0.031074086150765543,0.5290709669164895,1.9757897533320452,-1.0754659955103103,0.4536427869432179,-1.3903974728598674",0
"-0.9968204653088595,1.2395510242186853,-1.0584758258978726,0.28038331541247064,0.3490702485769955,0.4518104143379642,-0.00252684447998207,0.03546798472956726,0.15517429431827257,1.696873009426631",0
"1.2016833029692937,-1.3085763998603914,-0.7279974254370103,-0.44876142713297434,-1.8391135479092173,1.854749306934601,0.6607124186402256,-0.20168772255879258,1.2790265725172443,-1.4872890855961685",0
"-0.7591274645721064,-0.5159185170923818,-0.5356253407686455,-0.7609883081756805,-1.451713074636841,-2.609587615014039,0.6312727381189494,0.7894355342114833,-1.7869608145088987,-0.10616658520094145",0
"0.11272766891386224,2.1365278655278486,0.07653003674639795,0.9941267768154749,-0.7929780749449681,-0.39632906001336277,-0.3159173418849196,-0.6601949141363855,0.1220066374166139,-1.0082780658417005",0
"-0.08892729211393735,-0.5133783578612062,-1.495014983625624,-1.058422547237994,0.19379462570433287,-1.4684633091312127,-1.2187121016395996,0.42524963226158485,-0.9763502356134627,0.8774694773975579",0
"-0.4470591961168976,0.6392003350383372,1.6898685363819406,-0.09075412557525905,-0.6886534608243559,-1.357101282567117,-0.7960834273330807,-1.0576912407255132,-1.0696400439937395,-0.34702399176763915",0
"-0.661133745040255,1.0969162611714571,-0.44232371233033435,-0.14334853782827497,0.48630975926090275,-1.0108926444275077,-1.395530823247845,0.4598960068372183,0.4031177730340879,-0.6079915537328398",0
"0.5690211001369431,1.7250744624131,0.9347446847868108,-0.5180424076332648,0.7555178426595011,0.5527278607130144,0.5264270744407623,-1.003043462579399,1.2450777014947128,1.4066384877959919",0
"2.6466995294834756,1.1689248770015015,0.0022512957847283235,0.5864107208228075,-0.8189634191863603,-0.7858339270063583,-0.611779130119014,1.1064617999391702,1.3317898204784162,-1.012943302098174",0
"-0.025718147409517448,-0.10149936192690735,-1.7480389553292355,-0.9015981353569079,-1.1321599738971058,-0.1400213818303097,0.35216006748321477,-0.35395659060807944,1.4817664722777815,-0.7337256657352367",0
"-0.9329661836943955,1.1986559408404922,-0.1906712537780669,1.1860842945390386,0.15819496296397395,0.054430987498856206,-0.06809068860014679,-0.10820925376798785,0.7136377319568968,0.6815727029521852",0
"-0.10624496600827388,-0.32261522201700327,-0.583466042392953,0.12583991007947343,-2.3197380998305186,-0.021568402903866267,-0.44501234293570235,-1.534667148149938,0.9767409681881802,-1.2363159485637312",0
"0.6698773467993426,-1.2013483319658886,-0.7517089983071594,0.9555384213107353,-0.26801085397205276,1.0892406329290445,0.42125502779124957,-0.37811343173425066,0.44033646589535813,0.25353299523732487",0
"-2.3467825475612285,-0.5164254356569105,-0.7319829582863832,-0.6278197167614271,-1.1844870916652683,0.7404315587122368,0.3847743193846546,0.5749815402928224,0.001329194972622201,1.069422946736851",0
"1.109852180147728,0.6586418972085817,-0.2810440459477148,-2.220216113188306,0.09870831851555062,-1.255375884222208,1.9687080151450307,1.0957750861750384,-1.9858899954250295,-0.2551373607160959",0
"-1.511458722083287,1.3149670297186304,0.4040419604480591,-0.006187014475559984,-1.1485902075982768,-0.8552066723302323,-0.2857388200099297,0.17951924525922677,0.8002184198646911,-0.9454677165558794",0
"1.4034604298974467,-0.38138923279740994,-0.05136422684049134,0.6628833326085326,-0.8108978399605501,1.4868982561354878,-1.3456819098827917,-0.3896485187603149,0.21031926173122345,-1.6895196565265826",0
"-0.5600412379423029,1.75299814494535,-0.9409482458273315,0.5509941964623356,0.8404547476478634,-2.1301406949278685,-0.05843009216206636,0.8111937851260842,-0.5143493539675444,2.2627222568170913",0
"-1.5280539651197111,-1.0352490937152363,-0.2713019322106025,-0.6019640353196732,0.638635104175588,0.18930779178137036,0.30489033143322597,0.2842880944866772,-0.060146104099038124,1.0386190226736884",0
"-0.31153588605875704,-1.197018808020619,0.7225618701130998,0.11577883720727315,-1.1602594054455924,-0.2518094750130736,-0.5378382441743736,-1.2298315053598288,-0.7340884371748755,0.4837161698789403",0
"1.1901919681222637,-0.031856109505157534,0.33911541605452544,-0.3843043936337646,0.5938463300279063,0.8279847521529757,-1.0222851278771694,-0.1693706877426517,0.13139431479313007,-0.025430965411204084",0
"-0.7679790251385478,-2.3047624457900033,-0.4157381107055382,-0.8131605845671427,-0.21571090104473822,-0.21029350454094836,0.0813256849278164,0.7506153465133703,-0.044095277114712006,-1.1462346847298832",0
"0.6836188351391663,0.5109268568382042,-2.3841110413713076,-0.8979625441152427,1.2097491879014046,-1.232096747281021,-1.4854248838533202,-2.0182985115694456,-0.394012778410879,-1.7913472690177301",0
"-2.6652659679403605,-0.3166092091460284,0.1922396214824261,0.1252339364181791,0.04218556376308592,0.794385972823101,-1.2831197172723223,1.5830650748539103,-2.429816412195594,0.8863172671406062",0
"0.49651317388533217,1.6132296523912628,0.3513827268636539,0.4271395097504084,-0.8302077754489727,-0.5718901208365605,-1.5306874264286436,-0.8147368428319228,0.4738336644756125,0.45739411426966603",0
"0.7711038265061212,-0.14445724870200846,0.3683964694520251,-0.7626056457223137,0.13124665123300866,-0.5011651858977959,0.28801777491367303,-1.7448888720574005,-0.5314616936140399,1.081431303946445",0
"0.1908152569775856,2.09270169433233,-0.2547712908674514,0.48049409668301285,-0.5611978788803367,-2.1245395179963538,-1.1125177006909142,-0.8163068270710561,0.9840597139016591,-0.09213309974912054",0
"-0.8547641191036366,0.4742251151223035,0.3510492728477096,-1.0142451799697971,0.8604510519991092,0.8706262861261567,1.2050526377558397,1.05049681319528,0.4400424603138781,1.2117400987524223",0
"-1.4492788604003486,0.9312003705741498,0.25801165299797885,1.8533311361119373,0.1562989152710388,-0.4534499588168874,-0.5265736381906326,0.1273260396972559,0.2906050921236323,0.1440235561265856",0
"-0.09411761056602402,-0.9888254782480986,-0.639455570089074,-0.13740466066868065,-1.6529590585473453,0.3519704205152908,0.40864945896313215,-1.2589124933520672,0.1776966713848192,1.2784508787813758",0
"0.6918662241892445,0.11689905552848139,-1.102755839923754,-1.245383687296628,-1.0666199632991582,0.5666802663833544,0.21016688073936046,0.4738411404714859,1.5653175420255807,-0.12202098486196693",0
"-0.63484641177946,-0.05704913111255836,0.7074520625642295,1.3344661331379182,0.372874305687413,-0.23478909288059285,-0.9003923713968186,1.7470473009432028,-1.3398406023366092,1.3872990253319248",0
"1.2032857790036922,-0.8785479602288033,0.36083082288676727,0.8711680180049809,-1.1665172006664295,0.338587251828851,0.2857551686140875,-0.8673572873167279,1.1882427393446695,-0.18076904517069098",0
"-0.30399141386877643,0.6723482029341213,0.8372318075247029,0.17048689294287622,0.9048230702765316,-0.302629252376215,-0.3382886497465188,1.2884558085477267,-0.46742145059369467,-1.6492691475399992",0
"-0.9570088744594414,1.6732302745912915,2.190564871297367,0.6146663922550926,0.35196311856234963,0.19666384556986655,-1.2258460348679225,-1.3114721577498347,0.5511405727225885,0.26743372440849017",0
"1.0746234645813086,-0.10502090794576344,-0.6995048858043,-0.8704201457544956,-1.9205555774638872,-0.4689712053580287,-0.2966272361098997,-0.11769822823683963,-0.564219463208532,0.795352096558726",0
"0.1411363771179511,-0.4339175730319613,1.6054831473222357,-0.16549703617325687,0.24257156892120166,-1.3593724608885036,-1.277578336401611,0.4595055749332256,0.3173063274076778,-1.7488414203528668",0
"0.7341577941630382,-0.5253742204489079,0.06267569971493647,0.7910169955141634,1.4329478432360667,-0.19856244661598357,-0.5403069930267816,-1.1251560411191905,1.243385620219942,-3.1941028235216447",0
"-1.1889248182377667,0.4321196932161681,-0.7852968630649454,-0.44108469205531964,2.031431886086486,-0.00889796942796377,0.30513491277684607,0.12380236412706802,0.07986095810825311,1.274984339590401",0
"0.003425163008273119,-0.24319328587018252,0.608952950600162,-1.1033001738962132,1.1722369675327466,0.9957742355139969,0.4603847911220329,-0.015854112298245054,-0.08999412311027917,2.233297521548315",0
"-1.0622421126594463,0.1614061043248019,-1.5178249304392348,1.4394501874968197,-3.058270496624259,2.6255308789712317,1.3921899784749365,-1.7644232635283235,-1.1583268229949493,0.1331028697943563",0
"0.17198839728629092,0.5281793435092879,0.44430500745387,-0.7071131141979757,1.0877843469792756,0.9523719759645239,0.275566620070105,0.5618197746294523,2.8516260081923552,-0.26546401840251965",0
"1.187791833477452,0.10906912002656241,-2.1373627545983633,-0.004632531717041873,1.4757390516195685,1.443369163084715,1.0139275059016282,-0.12498553274965683,2.3763712660653287,0.38661303571596456",0
"0.4560078841883979,1.5661457400637875,-0.35733857386472495,0.6561426739512566,-0.8280827156551,-0.04294582041952026,1.5206684247800335,1.9970471583028662,0.19945202311216975,0.3653501364690216",0
"-0.053078234863522644,1.236718211603035,0.029338474004490855,-0.2816647085768464,0.488537870859012,1.9615258728492007,0.39747051527740845,0.17136281827703273,0.2550238132473256,-0.6330672154016713",0
"0.3067777352578593,-0.5005058569162047,-0.1796121188575802,-0.439875751989104,-1.5675856667231105,1.0943269797320037,-0.7812869897289143,-1.744746102203563,0.8440746916180908,-0.2939832167172006",0
"0.18249539889739191,0.6008575663651782,-0.6421890308490991,1.5227703374807808,0.5957497225784204,-1.1109001254768867,0.28376600842574984,-0.4653117633082472,-0.43338108714821,-0.5156215043068211",0
"0.11740461537346408,1.5858009189480644,-1.3488583473596152,-1.6741821000682127,0.10681184949090632,-0.16899687695307383,0.18204719295737518,0.18674994249640398,0.3186263347516301,-0.3258172770814239",0
"0.41865297693906467,2.1294502402368987,-1.1248804754368213,-0.6942757159200441,-3.04479574433967,-0.42737375247052267,0.8989128684807522,-0.35884283933091954,-0.2338037415147196,-0.320011088510271",0
"1.9099051990361386,0.8437838412179836,-0.6010026494012617,-1.2131548985175746,1.8246742847762567,0.0568255216109227,-0.6874381908414672,0.19115729939978865,-0.4576141991624997,0.8611619001094168",0
"-1.6731292984090247,0.47674739520692866,-0.057938594008231765,-1.3067942015367735,-0.14329049320389003,-0.8794150844675054,0.5058873367420288,0.43110990052365866,-0.9931448847072866,1.5747393394945988",0
"-1.6322104073716757,0.2475971697962818,0.9485469141546368,-0.29426152242050935,1.616097447007253,0.07305747060904189,-0.14353975791886783,0.5238416479745447,0.3583997835047852,2.486170819951062",0
"0.40817157429371137,0.5926599449662843,1.216858916271652,0.11203556716777033,-1.0167659329011307,-0.36940778421423404,1.5080248262505098,0.7316649968608822,-0.5661676455975592,-0.48363849575025414",0
"0.4574844330518583,-0.21431454470388364,1.1618568818297728,1.500866404281525,-0.20931809887912028,0.9954528523190319,0.3568226069215766,1.2313341722001754,-3.1867033360425965,-0.44759510525091917",0
"0.374539557506387,0.008058916519265763,1.9358714044656093,-0.6672561554573121,1.8915324567355416,0.6854152053926228,-2.64707485895605,0.6393201788108935,1.839243028801281,0.9044999721493835",0
"-1.700417405259626,-0.866462708856045,1.8866902004544033,-1.8865323370371951,0.7781160179145293,-1.1657010061296564,-0.7360199816016703,0.26989423690434305,-0.3990613712414632,1.0854232496107101",0
"0.3758605376819357,2.4338330836241995,-1.2685001635788749,0.3601533525558802,-0.15953269300305736,-0.11462202644522307,-0.8573086897723077,0.5071029857149987,-0.8715854925370068,0.7141182214598879",0
"0.7602707962624786,1.104686154453405,1.0746607152843985,-0.20425350020645522,0.6319628085901849,2.4489448615716345,-1.294004866548747,1.3220588905072257,-0.7141905705940299,1.7298097402023338",0
"0.27915331227156803,0.2377432642043138,1.6552641649731945,-1.2664453124826303,0.8384323158655037,-0.2056187250761488,1.3039604085979914,-0.5362065301631205,-0.6481677178507705,0.2862838476468985",0
"-0.06290031558248484,0.46426158779948196,-0.3925704153135988,0.732565763948188,0.8664919299709715,-0.621930290928928,0.8235915312068307,-0.7962644983933929,0.6482415793816709,1.2875846886909228",0
"-1.1603061080444517,0.48492838823214485,-2.0620933365399794,0.06257582344608428,-1.4567354454450763,-1.8328274234048958,1.2827276076771958,-1.6131992560304025,1.086948801491609,0.5382197040360018",0
"0.4455870337406064,-0.3169649964724384,-0.9851049234696233,-1.4587925868995222,-1.0510160654139253,-1.4335564007198842,-0.985141517643196,1.3069228181855328,1.558952589553091,-0.7680544703657847",0
"0.13189993842522296,-1.5510780480530486,-0.24088564544402616,-0.6857045787967502,-0.7177678116163343,-0.2483596902931045,0.2694719423267169,2.072851602758568,1.0509668657466649,-0.2450470141058408",0
"-0.6557141695828204,0.3662297063343784,0.440234002759954,0.7079007279233808,-2.3456962503679235,1.3521503020348387,0.5787925462877698,0.2676089626187319,-1.4222713111431902,0.10654223428782952",0
"0.8880643224438166,0.4588807054567833,1.831724004791853,-0.38570559320004894,1.5843322212393232,0.5189545153112648,1.567834301905436,-0.5291043910061205,-1.8244019828281988,-1.0858309670902293",0
"0.8123054255357268,-2.264195325586124,-0.4095951591923428,-1.5246544575067242,0.11919603500005942,-0.39566365210351867,0.16624031107582346,0.9686509059755566,1.070571600854055,1.485635227906766",0
"0.3101772672411892,-0.8613343892809602,-1.7063190161295767,1.360578793315118,-0.656246248565182,0.7768555477250033,-0.8304285900195149,-0.3374771372551983,1.1669269084821483,1.687157149640354",0
"0.711020737569126,-0.5174457928807124,0.047878613759170664,-0.49351034253441045,-0.5706698937130056,0.33609053327765737,-1.136115206322883,-0.8901902780611037,-0.7515787525906966,2.1334715757653178",0
"0.49504067402611407,2.051039506103883,-0.03476778789925934,0.8107135055567211,-0.8190504385620793,-2.2392708073633436,0.8878559916063671,-0.56261687028045,-2.934551448531688,-0.05867124476750174",0
"0.4296582758674848,0.8560705839247938,-0.9953437849564299,0.5218550205719372,1.2125447086227834,1.8691906687365418,-2.284995206566503,-0.3288711956213089,-0.9074733603080272,0.200373406470948",0
"-1.8890834113322457,2.1038862287718083,0.1201972323908945,-0.3192519497206739,0.13774065037015074,-1.873515348621314,-1.4683850755344816,0.38226894111831694,-0.4490560888038242,0.5450578769150776",0
"1.2763874219714744,-1.819195381903275,0.18724072572043093,-1.019998121903612,0.42432737556041694,-0.7901046463258552,-1.6327437423632474,1.387259521296672,0.30763637776675884,1.4648939608543643",0
"-0.6308280273666426,-1.4256479316364312,-0.5976894468980709,0.250938889801038,-0.07389318583776881,1.5417309370830676,-0.10833305856312565,-0.31816012798115184,-1.7582949961451417,2.397972786054532",0
"1.0361593596899397,-1.0605843807439408,1.326840149742719,0.8519374613548394,0.5571215413839731,-0.44291026575074477,-0.3089015785054426,1.3076196303824092,-1.074152172493651,-0.2388179650641539",0
"-0.2174551871993157,-1.2858736889171014,2.300334458593709,-0.0661094883434655,-1.3392270852149921,-0.5021565999784687,-0.24761099468312553,-1.3743360882471838,-1.2723199201463244,-0.06814390778076831",0
"-0.7280724724684087,0.20535969796005552,0.7265436519498022,-1.1449041849383443,-0.21224995587480863,-0.4673026726296333,-0.1820424922741986,-1.3605809558808328,0.42934234612146827,1.5800670528237373",0
"-0.10073868003856859,-0.59961339642434,-0.2908093223774853,0.904775369174336,1.5903452028156808,-0.8701051930028448,-0.04503648192339781,-1.3652702663474516,-2.1144492350415383,0.27117883920239594",0
"0.5237868898359417,-0.6529735639891181,-1.5044122532695985,1.0281971570387491,1.441160898988058,-1.184140159172567,1.045603440750584,0.1395026926960493,0.3945837938103146,-1.694549106963077",0
"0.2432410472764134,0.4183893911528583,0.6445236123360343,0.8821219522677491,-0.6590718223844197,-1.6306303314451085,-0.09922504746236614,-0.9441540490044883,-0.5831612558755588,1.462328408050345",0
"0.6368340173819506,-1.1624923980949635,-0.9960034837687638,1.863843551959258,-0.47786744745836607,0.03240501717058484,0.9690390954283781,0.29784658738910774,0.3479202066900222,-2.5282681699975815",0
"0.3295490423710536,0.09787869867938209,0.23391703976197953,-1.6348385946701927,-1.2972581768061802,0.027040787181935182,0.9480479855314728,-0.7027145545755243,-0.5822784271130201,0.8734150802103939",0
"1.2723983556853777,0.0815486309756901,0.3468526667594329,-1.7478548962270382,0.5879281322069712,0.3530261521064626,-2.2823080533296074,-0.45829059465517175,1.2988067017480085,0.48268315862363487",0
"-0.7714380380140464,-1.0137955272684012,-1.5790752714904301,0.1867196109624407,1.6635791655552046,-0.404669610543072,0.339929664103994,-0.6302738135166912,-0.23879303747093902,0.4786443101416296",0
"-0.012258731344371183,0.8074787268714635,0.8814314779053419,-2.912495910698405,-1.8422253883216733,0.5572160006022896,-1.2221464752958782,1.2735442789901807,0.18115538940098547,-0.3781114724939012",0
"-0.06576342060470006,0.49479666615940854,0.14535703805858333,0.20906412347619432,0.5153501991546294,-1.6105529875110625,0.6536764006679348,0.22904987176397262,-0.8481665600105004,1.4530592138194645",0
"-0.07805982409399469,0.03979918019123059,1.8223254599976857,0.7376988003611435,-0.9813469599655189,-0.35327204475797624,-1.9879101391081824,0.8599329417055148,-1.182523620889531,-1.2808142854301163",0
"1.7648767391646432,-1.048268293605364,-0.33269147813735095,-0.1668573708224761,-0.5686106644165391,-1.2488270515337858,-0.8368829406524322,0.18255744182284916,-0.45950221629417687,0.07799215179935612",0
"0.5119018611790561,2.3051111617015816,-2.53764241333224,-1.0750137166352163,0.8373692494830148,0.4456446857810097,1.5925434822388986,0.2609761777311241,-1.4403741362934548,-0.20984460790273357",0
"-0.13111260609656472,-1.0264428861321362,-0.11383637207430004,0.45809314045921795,-1.3222828935787836,0.4380571605348181,1.5456810531123848,-0.06857941272464411,0.3644103198315155,-0.5925687422987207",0
"-0.879677484645485,-0.6410849684441489,-2.0652008172396474,-1.2355300087517291,-0.38362315922663426,0.8844646907125113,0.7004023045444564,-0.48696400082578833,-1.2031127496334633,1.596285544452943",0
"1.6194970582711137,0.4152825996177205,-1.6320833201962903,1.8242249130494819,1.4080445107679311,0.5929653780667818,-1.1462225353878361,0.8691966276261118,-0.9208317282984353,0.3798473376964809",0
"-0.17563730146802045,-0.0529657408458845,-0.15305090579217379,0.3543329750814342,-1.1581156028221797,0.3007040838149853,1.3053737244319987,1.1428466526196803,-3.0031622114413765,-1.8829396240963487",0
"1.8668100037960358,2.804581873630982,-0.5112433279007422,2.31472610025814,-0.28311490327459754,-1.4426868102717922,0.5998338860894104,2.518962760489894,1.0037323484454377,0.8286133290209984",0
"-0.10719071033163081,0.028474540066871824,0.5384974945027042,-0.11188526283122108,-0.6805566439824025,0.8770721976947967,-1.5957514037734424,1.3569435914215306,-0.5758271717373414,0.37576504696819624",0
"1.4684225036432568,0.7862338335489694,-0.3730057497198879,0.3815064556824677,-2.0990892691385974,-2.7966468795823016,-1.6029274949208825,1.1167609125233664,0.045455467313103674,-0.9318130905682982",0
"-0.5515187723739085,0.6703960853741555,-0.8665690610634444,0.07522469097396216,-0.12584290976652707,-0.337623244498879,0.5700641566586763,0.9221902932794401,-0.9830381997306137,1.41837205193744",0
"1.2645362275592673,-1.7461722116239617,-0.11725113017479749,0.5592085097227191,-0.676604846973702,0.836352440406572,0.6960714181435409,0.7640395271275205,0.8548679738852784,-0.004545516087992046",0
"0.8150919918024838,0.13766125914713537,-0.10964082141962017,0.7535137304755799,0.7015147937009214,0.398354260092906,0.1714351708935843,-0.38035177385410796,0.3253634983675056,-0.601585171334359",0
"0.6911840186286391,-2.200828668466455,0.9781564517572785,-0.597278105912796,-0.4721034122021538,-0.12376654784989863,0.11666922568354772,-1.9537960061320583,-1.4636336184069665,-1.272556015997873",0
"1.1963822915375417,-0.7090688305763946,-0.6256688962706312,-0.4111868381441089,-0.513615763697293,-1.4990765778223056,1.256650900949047,0.5377479865565565,0.5388389222388889,-0.5975384156781782",0
"-0.6955855591625852,-0.019897433592158554,-0.20923348386314491,-0.8578824052511377,1.4925914295781018,-0.3163842976675535,-0.8457103637714836,1.955066390560064,-0.1798988631992374,1.3178520381625982",0
"-1.7194175515681411,0.6429659823909354,-0.846811698528528,0.6164732105169037,0.5169914431998502,-1.2795727068369298,0.8541529396029918,2.3107129426225437,0.12042068443253003,-0.8897871467746519",0
"-0.5469340202672833,0.1684860837807634,-0.42228347648087017,0.48380382324966625,-0.6666894632735852,1.962057926804295,-0.19036451202755106,0.6894869591627075,1.1933326410488772,-0.4889934833808076",0
"0.21392587619603015,0.9688303755551517,0.09492548400121952,-0.9012601949021316,-0.8094394679766506,-0.4752064293292118,0.8622331732246649,0.4388806226715044,1.766464806098682,-0.27073616106254395",0
"0.45572346925799845,-0.07871642737540258,-0.5194800828644682,2.829084052518224,-0.45654099063586556,-0.09500050996766787,0.5878471952993164,0.8746363307047744,0.7591329566681926,-2.9600885863996975",0
"1.234147634069716,-1.7799191760829485,-0.5941492812596408,0.3150281604253924,0.44222723549523585,-2.7238911682028184,0.2733993652074217,-0.5468753262588778,0.022945369682963578,0.2753783744540478",0
"-0.7253789618431119,1.242509219709963,-0.23564448550281564,0.6332011060247864,0.21392219048334316,0.5685378214523885,-0.81822757415754,3.090574487937125,2.0919709782248033,1.1068207843479048",0
"-0.06764763654724565,0.9014984105503553,-0.5274791108493647,0.5516094910121099,0.45767562371659615,-1.058028209937413,1.3176207006100382,0.22057715427585647,0.1615581044646715,-1.643121295496588",0
"0.7210797498250896,0.042289933393962795,-2.3259716946553177,-0.2814994208257706,-0.8614973910048076,-0.47110089174956526,0.9326439944709829,0.027621611262893524,1.2015495143336716,0.7260322178818855",0
"0.6647913761954231,-0.8339301667661126,1.59958025724953,0.5221546604411847,-0.6127772892433522,0.6934902015962527,1.1555808963893648,-0.5099077870743035,-0.19363576127773327,1.5428031283609476",0
"0.09360384918945598,-0.42862687043399533,0.3825188472368967,-0.3050017806895097,2.2106837253391722,-2.2236197866105822,0.1595703545866923,1.3524941428068655,1.273719636355632,-0.4926390102746609",0
"-1.1337182971551696,0.9473149152244928,1.1607520648229197,0.2089298440110791,-0.9229373606760111,-0.3624694520466095,-1.2699650732139596,0.1793610745699593,-0.6220917154498335,0.4716018045302629",0
"-0.6065133971110785,-0.023652194595606916,-0.7217517814798704,0.42842112170223456,0.08654293622113635,-0.48736016518537106,-1.2879089664719672,0.4627060189175527,0.826369367398587,0.7523062572918937",0
"0.9925684590415101,0.9711656751796743,1.0034989184861802,-0.9681018644176786,-2.2278690294093613,0.9697522946248008,0.21079899343169964,0.21958872818756892,-2.3222187870152062,0.33646619873682043",0
"0.23143808975051164,-0.783796839303329,-0.5411971912683627,0.08003899581836402,-0.019766984276075764,-0.3685917919712986,-1.5175864429014094,-1.411385765474764,0.07835541100943508,-0.5187189959790206",0
"1.0249925209623971,-0.1747154521498896,-1.0309566177195424,-0.8126218007550889,0.02204258002391939,-0.5153152471562703,-0.19713320431952197,1.728197448306891,-0.5525009731236898,1.0930170936690415",0
"-1.1478056311067906,-0.13007488106853934,-0.8620428835321937,0.042928632790475686,0.1314570742841905,0.28175640146691544,-0.37070876819157395,1.607232899621177,-1.464892932621424,0.5474284235544714",0
"0.4971493876622694,1.0510011865091688,0.048544084695990065,-2.620792856461216,-0.8412549362266288,0.3750160391851434,0.4264385463401561,0.20042547170913647,-0.30888224119360846,-2.1361634670252596",0
"1.0091007215993948,0.08004837151151839,-0.08201503259445037,-1.1944887134320705,0.169353914521843,0.6273994919106156,-0.7678107525549127,-1.1565316464285418,1.8145045640059312,0.6268071337041561",0
"-1.025094362317381,-0.21515314162751187,0.09583213161705324,0.5879912887513025,0.5266307732282353,0.6509025682981994,-1.4966572064871313,0.8421514189058767,-0.8618002158132001,0.20311373655984763",0
"0.16874650410155348,-0.10167048710186813,-0.25221281166782905,2.063042555151924,-0.5454138449357511,-0.09266435214088109,-0.46542807731523606,-0.2748924070115333,2.3420319033247106,-0.1948104274402787",0
